accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000007.v30.p11","Framingham Cohort","Startup of Framingham Heart Study. Cardiovascular disease (CVD) is the leading cause of death and serious illness in the United States. In 1948, the Framingham Heart Study (FHS) --  under the direction of the National Heart Institute (now known as the National Heart, Lung, and Blood Institute, NHLBI) -- embarked on a novel and","Cardiovascular Diseases","Prospective Longitudinal Cohort","HuEx-1_0-st, custom_probe_set, Affymetrix_50K, Affymetrix_100K, Genome-Wide_Human_SNP_Array_5.0, LegacySet, HapMap_phaseII, CVDSNP55v1_A, exome_vcf_grc37, HumanOmni5-4v1_B, target_markerset_grc36, SNP-PCR, HumanMethylation450, WES_markerset_grc36, WGS_markerset_grc36, FHSOmni_Axiom_PLINK_Markerset, HumanExome-12v1_CHARGE-ExomeChip-v6, 1000G_ref_panel, exome_vcf_ESP6800, WGS_markerset_grc37, WES_markerset_grc37, HRC1_ref_panel","Not Applicable","Not Provided","434 phenotype datasets, 61988 variables, 1292 documents, 3029 analyses, 27 molecular datasets, 15154 subjects, 51800 samples, 8 sub-studies","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System; Cardiovascular Systems"
"phs000209.v13.p3","Multi-Ethnic Study of Atherosclerosis (MESA) Cohort","MESA The Multi-Ethnic Study of Atherosclerosis (MESA) is a study of the characteristics of subclinical cardiovascular disease (disease detected non-invasively before it has produced clinical signs and symptoms) and  the risk factors that predict progression to clinically overt cardiovascular disease or progression of the subclinical disease. MESA researchers","Cardiovascular Diseases","Prospective Longitudinal Cohort","Genome-Wide_Human_SNP_Array_6.0, CVDSNP55v1_A, exome_vcf_grc37, HumanExome-12v1-1, exome_vcf_ESP6800","Not Applicable","Not Provided","93 phenotype datasets, 22147 variables, 182 documents, 5 molecular datasets, 9780 subjects, 23922 samples, 3 sub-studies","","NHLBI","HMB --- Health/medical/biomedical , HMB-NPU --- Health/medical/biomedical (npu)","2014-11-18","2015-11-18","Atherogenesis"
"phs000280.v5.p1","Atherosclerosis Risk in Communities (ARIC) Cohort","The Atherosclerosis Risk in Communities (ARIC) Study, sponsored by the National Heart, Lung and Blood Institute (NHLBI), is a prospective epidemiologic study conducted in four U.S. communities. The four  communities are Forsyth County, NC; Jackson, MS; the northwest suburbs of Minneapolis, MN; and Washington County, MD. ARIC is designed to investigate","Cardiovascular Diseases","Prospective Longitudinal Cohort","Genome-Wide_Human_SNP_Array_6.0, CVDSNP55v1_A, HapMap_Phase3, exome_vcf_grc37, Cardio-Metabo_Chip, 1000G_ref_panel, exome_vcf_ESP6800, WES_markerset_grc37, targeted_region_sequencing, WGS_markerset_grc37, LegacySet, target_markerset_grc37, ExomeChip","Not Applicable","Not Provided","289 phenotype datasets, 18704 variables, 357 documents, 15 molecular datasets, 15678 subjects, 43640 samples, 6 sub-studies","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","Atherogenesis; Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System"
"phs000285.v3.p2","CARDIA Cohort","CARDIA is a study examining the etiology and natural history of cardiovascular disease beginning in young adulthood. In 1985-1986, a cohort of 5115 healthy black and white men and  women aged 18-30 years were selected to have approximately the same number of people in subgroups of age (18-24 and 25-30), sex, race, and education","Cardiovascular Diseases","Prospective Longitudinal Cohort","iSELECT_HG18, Genome-Wide_Human_SNP_Array_6.0, 1000G_ref_panel, exome_vcf_grc37, custom_PCR_marker_set, exome_vcf_ESP6800","Not Applicable","Not Provided","322 phenotype datasets, 9364 variables, 115 documents, 7 molecular datasets,  SRA, 3622 subjects, 13539 samples, 4 sub-studies","European (148), African (9), African American (555), Hispanic1 (6), Hispanic2 (1), Other Asian or Pacific Islander (2), Other (4)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","Atherogenesis; Caloric Intake; Energy intake; Arterial hypertension; BP - High blood pressure; BP+ - Hypertension"
"phs000286.v5.p1","Jackson Heart Study (JHS) Cohort","The Jackson Heart Study (JHS) is a large, community-based, observational study whose participants were recruited from urban and rural areas of the three counties (Hinds, Madison and Rankin) that  make up the Jackson Miss, metropolitan statistical area (MSA). Participants were enrolled from each of 4 recruitment pools: random, 17%; volunteer","Cardiovascular Diseases","Prospective Longitudinal Cohort","CVDSNP55v1_A, Genome-Wide_Human_SNP_Array_6.0, Human1Mv1_C, exome_vcf_grc37, exome_vcf_ESP6800","Not Applicable","Not Provided","65 phenotype datasets, 4160 variables, 2 documents, 8 molecular datasets, 3602 subjects, 8876 samples, 4 sub-studies","","NHLBI","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , DS-FDO-IRB-NPU --- Disease-specific (focused disease only, irb, npu) , HMB-IRB --- Health/medical/biomedical (irb) , DS-FDO-IRB --- Disease-specific (focused disease only, irb)","2016-07-13","2017-07-13","Arrhythmia; Arrhythmia, Cardiac; Arrhythmias; Arrhythmias, Cardiac; Arrythmia; Cardiac Arrhythmias"
"phs000287.v6.p1","Cardiovascular Health Study (CHS) Cohort","Objectives The Cardiovascular Health Study (CHS) is a study of risk factors for development and progression of CHD and stroke in people aged 65 years and older. The objectives  of the Cardiovascular Health Study are to: 1) quantify associations of conventional and hypothesized risk factors with CHD and stroke; 2) assess the","Cardiovascular Diseases","Prospective Longitudinal Cohort","CVDSNP55v1_A, HumanCNV370-Duo_v1, exome_vcf_grc37, custom_PCR_marker_set, HumanOmni1-Quad_v1-0_B, exome_vcf_ESP6800, targeted_region_sequencing, WGS_markerset_grc37, WES_markerset_grc37, Cardio-Metabo_Chip, HumanExome-12v1","Not Applicable","Not Provided","56 phenotype datasets, 14718 variables, 22 documents, 11 molecular datasets, 5609 subjects, 16192 samples, 5 sub-studies","","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","Aging, Biological; Biological Aging; AP - Angina pectoris; Angina; Anginal syndrome; Angor Pectoris"
"phs000703.v1.p1","CATHeterization GENetics (CATHGEN)","The CATHGEN biorepository consists of biological samples collected on 9334 sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review  Board informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the","Coronary Disease","Cross-Sectional","HumanHT-12_v3, HumanOmni1-Quad_v1-0_C","Not Applicable","Not Provided","2 phenotype datasets, 7 variables, 3 molecular datasets, 3304 subjects, 3306 samples, 2 sub-studies","","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2014-07-30","2014-07-30","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000788.v2.p3","Research Program on Genes, Environment and Health (RPGEH)","The Kaiser Permanente Research Program on Genes, Environment, and Health (RPGEH) is a resource developed to facilitate research on genetic and environmental factors on common diseases and healthy aging.  The RPGEH resource links biospecimens, health surveys, and comprehensive electronic medical records on broadly consented adult members of Kaiser","Aging","Prospective Longitudinal Cohort","Axiom_KP_UCSF_EUR, Axiom_KP_UCSF_AFR, Axiom_KP_UCSF_EAS, Axiom_KP_UCSF_LAT, WGS_markerset_grc37, Axiom_KP_UCSF_EUR, Axiom_KP_UCSF_AFR, Axiom_KP_UCSF_EAS, Axiom_KP_UCSF_LAT","Not Applicable","Not Provided","3 phenotype datasets, 12 variables, 3 molecular datasets, 78423 subjects, 78423 samples, 2 sub-studies","","NIA","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2018-05-15","2018-05-15","Aging, Biological; Biological Aging; Anxiety State, Neurotic; Anxiety States, Neurotic; Neurotic Anxiety State; Neurotic Anxiety States"
"phs000810.v1.p1","Hispanic Community Health Study /Study of Latinos (HCHS/SOL)","The Hispanic Community Health Study / Study of Latinos (HCHS/SOL) is a multi-center epidemiologic study in Hispanic/Latino populations to determine the role of acculturation in the prevalence and development  of disease, and to identify risk factors playing a protective or harmful role in Hispanics/Latinos. The study is sponsored by the National Heart","Cardiovascular Diseases","Prospective Longitudinal Cohort","Cardio-Metabo_Chip, SoL_HCHS_Custom_15041502_B3_RefStrand","Not Applicable","Not Provided","3 phenotype datasets, 282 variables, 2 molecular datasets, 12895 subjects, 25746 samples, 2 sub-studies","","NHLBI","HMB-NPU --- Health/medical/biomedical (npu) , HMB --- Health/medical/biomedical","2015-12-07","2016-12-17","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs001001.v1.p1","MGH Atrial Fibrillation Study","The Massachusetts General Hospital (MGH) Atrial Fibrillation Study was initiated in 2001. The study has enrolled serial probands, unaffected and affected family members with atrial fibrillation. At enrollment participants  undergo a structured interview to systematically capture their past medical history, AF treatments, and family history. An electrocardiogram is","Atrial Fibrillation","Case Set","WES_markerset_grc37, target_markerset_grc37","Not Applicable","Not Provided","4 phenotype datasets, 35 variables, 3 molecular datasets,  SRA, 1025 subjects, 949 samples, 3 sub-studies","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-AF-IRB-RD --- Disease-specific (atrial fibrillation, irb, rd)","2018-03-06","2018-03-06","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
